ID,cell_type,fraction
GSM4331598,Macrophages.M2,0.024255455
GSM4331599,Macrophages.M2,0.022556667
GSM4331600,Macrophages.M2,0.008243855
GSM4331601,Macrophages.M2,0.013562536
GSM4331602,Macrophages.M2,0.037252726
GSM4331603,Macrophages.M2,0
GSM2198196,Dendritic.cells.resting,0
GSM2198197,Dendritic.cells.resting,0.007832075
GSM2198198,Dendritic.cells.resting,0
GSM2198199,Dendritic.cells.resting,0.024804319
GSM2198200,Dendritic.cells.resting,0
GSM2198201,Dendritic.cells.resting,0
GSM4331585,Dendritic.cells.resting,0.010612872
GSM4331586,Dendritic.cells.resting,0
GSM4331587,Dendritic.cells.resting,0
GSM4331588,Dendritic.cells.resting,0.001353438
GSM4331589,Dendritic.cells.resting,0
GSM4331590,Dendritic.cells.resting,0
GSM4331591,Dendritic.cells.resting,0
GSM4331592,Dendritic.cells.resting,0.008252927
GSM4331593,Dendritic.cells.resting,0
GSM4331594,Dendritic.cells.resting,0.002661905
GSM4331595,Dendritic.cells.resting,0
GSM4331596,Dendritic.cells.resting,0
GSM4331597,Dendritic.cells.resting,0
GSM4331598,Dendritic.cells.resting,0
GSM4331599,Dendritic.cells.resting,0
GSM4331600,Dendritic.cells.resting,0.004037201
GSM4331601,Dendritic.cells.resting,0
GSM4331602,Dendritic.cells.resting,0
GSM4331603,Dendritic.cells.resting,0.003581826
GSM2198196,Dendritic.cells.activated,0
GSM2198197,Dendritic.cells.activated,0
GSM2198198,Dendritic.cells.activated,0
GSM2198199,Dendritic.cells.activated,0
GSM2198200,Dendritic.cells.activated,0
GSM2198201,Dendritic.cells.activated,0
GSM4331585,Dendritic.cells.activated,0
GSM4331586,Dendritic.cells.activated,0
GSM4331587,Dendritic.cells.activated,0
GSM4331588,Dendritic.cells.activated,0
GSM4331589,Dendritic.cells.activated,0
GSM4331590,Dendritic.cells.activated,0
GSM4331591,Dendritic.cells.activated,0
GSM4331592,Dendritic.cells.activated,0
GSM4331593,Dendritic.cells.activated,0
GSM4331594,Dendritic.cells.activated,0
GSM4331595,Dendritic.cells.activated,0
