"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AFF4",0.0398469369615446,7.97714682228,0.59610414560674,0.556388684691673,0.853855982316959,-6.14018521154403
"PCDHB15",-0.0398392243076886,4.08548693464,-0.396432695123757,0.695101526748273,0.910111222821126,-6.23886838003345
"RBMXL1",0.0397800478717976,5.51049746844,0.337317870043265,0.738652896715742,0.925081971380186,-6.26057245960207
"LRRC6",-0.0397724035897404,4.7906832482,-0.315753955269121,0.754772877626622,0.930215080290958,-6.26762734961362
"TMEM105",0.0397695792051342,6.31374660148,0.417185448117662,0.680052873515572,0.904058806788389,-6.23042991522935
"DNMT3A",0.0397683024551316,5.71988008464,0.483236199698633,0.633073399337169,0.883807042805818,-6.20075283820526
"SLC35A2",0.0397662374359014,6.4500472862,0.450984455020181,0.655832850773935,0.894447039466768,-6.21577881809589
"SLC22A6",0.0397660429487194,3.043224791,0.461913623806976,0.648080872039697,0.891933598410227,-6.21080114804384
"RPS11",0.0397555183333456,13.4678177288,0.391833774649925,0.69845396809922,0.910983561376746,-6.24068087216256
"EVI5",0.0397455922948771,5.59930069084,0.456265742101314,0.652081895377571,0.893860312429905,-6.21338809665995
"OR5L1",0.0397002140256419,3.01342559004,0.418334009794452,0.679223866309427,0.903980101995353,-6.22995048948925
"PCGF2",0.0396936460961612,7.26466714928,0.388497713684755,0.700889745106,0.910983561376746,-6.24198258440545
"TRIM50",0.039689908782055,3.7245004236,0.448032214500882,0.657933660043399,0.895073254875833,-6.2171033025879
"LHFPL4",0.0396772048205181,5.97467561716,0.428131727420978,0.672168886552459,0.900692516549336,-6.22580797947586
"CDKL2",-0.039668139570511,2.43039381616,-0.787497681109821,0.438288236620942,0.805850424604884,-6.0095417804645
"SERPINB11",-0.0396608158846141,2.98705662876,-0.27737982987581,0.783736769271719,0.939075810230572,-6.27903817736766
"GRIN3A",-0.0396123785064093,5.30631906724,-0.448599837369682,0.657529517465797,0.894688184124501,-6.21684931040739
"PRPF31",-0.0396013589294828,7.57518047056,-0.630323271129524,0.534121452477097,0.843508892086573,-6.11938858684652
