"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"GK",-0.806188637820513,4.759406575,-4.51890303287227,0.0001253303965629,0.00495189109628335,1.04219942660479,"down-regulated"
"NAPRT1",-0.797761066141025,6.65906954756,-4.02753212740713,0.000450138420257359,0.0117313852489294,-0.181709232855104,"down-regulated"
"GLIPR1",0.797413380839746,6.72953677988,3.48786416343059,0.00178956256273092,0.0296422408505888,-1.49147873889319,"up-regulated"
"ARHGAP1",0.794720158153849,8.02270831176,5.4634636996624,1.06932166447314e-05,0.000929492131524679,3.41193238782595,"up-regulated"
"SYNGR1",-0.79090359272436,6.7886831908,-6.45111587622364,8.64658338090695e-07,0.000158525286826134,5.83651031329928,"down-regulated"
"SMAGP",-0.790749249333333,7.99732568432,-4.29789041537301,0.000223072158185113,0.00732519395889204,0.489390975357074,"down-regulated"
"CSF2RB",0.789233747576922,6.04056820076,3.20149417910541,0.00365381926758001,0.0465452476870947,-2.16172778259694,"up-regulated"
"ADAMTS1",0.788604332192312,8.66841365376,4.60529475101054,0.000100009418122934,0.00428359180174665,1.25893015234509,"up-regulated"
"NEDD4L",-0.787910108653845,5.865690614,-3.20811118349889,0.00359473712734218,0.0462845388898738,-2.14649077727177,"down-regulated"
"TMEM44",0.787834550000002,5.657686234,9.02630949335606,2.09530119630915e-09,1.93514161111627e-06,11.5846417390557,"up-regulated"
"AHRR",0.787151244089745,5.13247421324,4.06090427784445,0.000412883766317334,0.0109536506550651,-0.0992733333306912,"up-regulated"
"LAMB1",0.784396120102567,8.38617662288,4.08387414115555,0.000389029139603637,0.0106852854942806,-0.0424594885401586,"up-regulated"
"PRRX2",0.784272936243589,8.90719630432,4.41038839361073,0.000166371731856715,0.00595272416863604,0.770424703709716,"up-regulated"
"MLF1IP",-0.778813453935896,5.10030096388,-3.35434206299557,0.00250127370770811,0.0362635008980079,-1.80662683065721,"down-regulated"
"MAGEE1",0.778476291769234,5.61643823528,4.15164888500263,0.000326306003756603,0.00974105821719459,0.125503348600011,"up-regulated"
"CDCA7",-0.778404604858974,5.71240532436,-4.97941359050038,3.76356745989089e-05,0.00213081365344091,2.19906783322462,"down-regulated"
"FLVCR2",-0.777704510794871,4.02511071028,-4.7944899095115,6.09990754111965e-05,0.00299462902774502,1.73424198801562,"down-regulated"
"SMAD9",0.7768772305,5.54105431864,3.84968145060392,0.000712129177445201,0.0163786175717237,-0.618635808009118,"up-regulated"
"QPCT",0.776829973435897,7.71726874248,4.16035537846507,0.000319011425876299,0.00958799703397559,0.147113894723658,"up-regulated"
"RALGPS2",-0.776100489628207,5.80416798644,-4.75702677424111,6.72724365447027e-05,0.00317598975981173,1.64007871423296,"down-regulated"
"NFASC",0.774752323705127,6.21047901684,5.11645044738493,2.63287963467264e-05,0.00167698544661886,2.54325541874153,"up-regulated"
"FOSL2",0.774063098846155,8.2486604036,6.35236898976266,1.10720428512838e-06,0.000192484208486378,5.59839346945306,"up-regulated"
