,GSM4331587,GSM4331588,GSM4331589,GSM4331592,GSM4331593,GSM4331594,GSM4331595,GSM4331596,GSM4331597,GSM4331599,GSM4331600,GSM4331601,GSM4331602,GSM2198196,GSM2198197,GSM2198198,GSM2198200
SMTNL2,3.649012664,3.688197664,3.493912664,3.623097664,3.355537664,3.603907664,3.652782664,3.514817664,3.669662664,3.663112664,3.464437664,3.739982664,3.558422664,2.074262736,2.245758436,2.112694536,3.570529136
FAM126B,5.713852218,5.508668884,5.568718884,5.586782218,5.699832218,5.375575551,5.591718884,5.466628884,5.754555551,5.267335551,5.295365551,5.410302218,5.411752218,5.744981049,5.573093249,5.669319849,5.395752449
INPP5B,5.820574949,5.792984949,5.776668282,5.720258282,5.661064949,5.990791616,5.781241616,5.730638282,5.640881616,5.672631616,5.932491616,5.812994949,5.837458282,5.441328051,5.979155051,5.418583551,5.946613451
DIAPH3,4.995391418,5.171716418,5.404136418,6.537156418,6.746871418,6.538826418,5.427986418,6.277081418,5.681086418,6.450556418,6.298226418,6.416911418,6.623671418,5.641306582,5.795569882,6.046007582,5.701757582
GHR,4.881848529,5.691638529,5.447228529,5.730788529,5.743348529,4.532943529,4.792843529,5.423608529,5.499478529,4.957243529,4.831093529,4.655653529,4.504493529,4.962321171,4.369118721,7.027343671,5.327866171
CASP10,5.124692032,4.803194032,4.890206032,5.030472032,4.887728032,4.862374032,4.888120032,4.766102032,4.841690032,5.143306032,4.964556032,4.839496032,4.849522032,5.027355801,4.734318901,4.859207801,5.200082468
SERTAD3,7.295826857,6.750496857,6.882736857,6.873371857,6.877536857,6.958211857,6.804181857,6.889911857,6.775886857,7.238281857,6.905636857,6.768596857,6.854311857,6.692565143,6.926766143,7.135631543,6.897995943
LRTOMT,4.911265144,5.271581811,5.004525144,5.015208477,5.004018477,5.149048477,4.976530144,5.054820144,4.831530144,4.788471811,5.095508477,5.064643477,4.971560144,5.287096173,4.902778373,4.883583023,5.086211673
ZNF608,5.145145671,6.419622338,6.772079005,5.116135671,4.781729005,5.309439005,5.351522338,5.327582338,5.427322338,4.624702338,5.247132338,5.294175671,5.163082338,5.402239262,4.876634462,5.161095462,5.608981062
SH3BP1,6.878730674,6.93293734,6.847320674,6.791170674,6.866104007,6.934640674,6.88467734,6.83602734,6.930564007,7.03745734,6.941604007,6.77506734,6.98114734,7.005984343,7.264489243,7.138720993,6.551481293
GPER,6.926662939,7.111398495,7.434080717,6.685292939,6.656396273,6.986520717,6.870440717,7.029007384,6.713852939,7.042304051,7.027584051,6.939161828,6.905070717,6.585197716,6.420507816,6.892547616,7.051760149
SALL4,4.689995107,4.834655107,4.907895107,4.761425107,5.371745107,4.865415107,4.958675107,5.044495107,4.794595107,5.084415107,4.834655107,4.658685107,4.931395107,3.640565793,3.798614393,3.953930293,5.360398893
SASS6,3.289239101,3.196629101,3.268324101,3.829319101,3.798989101,3.127549101,3.061709101,2.753034101,2.871539101,2.699114101,3.170829101,3.123039101,3.010884101,3.915962599,3.412331499,2.216657299,3.458661499
LHFPL4,5.896606933,6.038781933,6.084716933,5.810996933,5.933826933,5.933601933,6.046006933,6.034891933,6.072836933,6.072266933,6.109486933,5.986241933,5.766216933,6.568786067,6.435714067,6.021369667,5.512979767
ITPRIP,7.468768992,6.036618992,5.799358992,6.691158992,6.888078992,6.781178992,5.971638992,6.275428992,6.552248992,6.568558992,6.551858992,6.708578992,6.661758992,6.026253608,7.111301308,6.105327008,6.464661508
PLEKHM3,5.152659947,5.388509947,5.218546613,5.182459947,5.23258328,5.192129947,5.15600328,5.13688328,5.356246613,4.999236613,5.11191328,5.16475328,5.203969947,4.74553022,5.41701207,5.20728502,5.18511087
HDAC9,3.582342156,3.230236156,3.387454156,3.368610156,3.360868156,2.820308156,3.425956156,3.619482156,3.138206156,3.332550156,2.848892156,2.919786156,2.865488156,2.438000544,2.297837144,3.270432644,4.940981244
PRKCQ,3.10071263,3.016699297,2.89381263,3.105215964,2.991629297,3.100225964,3.079555964,3.117289297,3.156189297,2.97555263,3.073489297,3.225695964,3.090499297,1.98893657,2.18842997,3.62185707,4.29497467
