,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
C2orf54,-0.448826357,4.524502626,-1.250939783,0.222348725,0.436282978,-5.752926567,unchanged
TBC1D8B,0.448762587,3.931923309,4.248980938,0.000253364,0.00813904,0.367489855,unchanged
SH3KBP1,0.448525422,8.064808484,2.513500708,0.018644291,0.112820099,-3.661775034,unchanged
LFNG,0.448481505,8.550075384,2.893989124,0.007701975,0.07021588,-2.854419813,unchanged
PDE4B,-0.448360768,6.147734889,-1.094580078,0.283964838,0.502580441,-5.92967961,unchanged
LEPRE1,0.448305555,9.214077152,1.305716248,0.203343781,0.415430811,-5.686079065,unchanged
INMT,0.448231,5.890023287,1.308771378,0.202321826,0.414280515,-5.682276988,unchanged
SLC39A13,0.44804441,8.205181349,3.774941628,0.000862675,0.018501819,-0.80087697,unchanged
CADM1,-0.447836176,5.892810494,-0.688347108,0.497468965,0.692515484,-6.286180416,unchanged
VAX2,-0.447748976,5.613507679,-2.141181238,0.042027587,0.173330075,-4.384644332,unchanged
FBXO32,0.447706351,7.059623181,1.009261197,0.32236099,0.542481305,-6.017097986,unchanged
NFKBIA,-0.44758863,8.739998862,-1.843728255,0.076911687,0.237716795,-4.904146181,unchanged
GDF6,0.447351796,2.577790766,2.926582132,0.007125131,0.067984422,-2.782536758,unchanged
CYP4F12,-0.447305309,5.437424807,-1.547895927,0.134009122,0.326799361,-5.36128799,unchanged
APBB1IP,0.447213822,5.632926758,1.743173456,0.093389765,0.264219903,-5.066575004,unchanged
HECTD2,0.447207481,4.803668684,4.628044859,9.42E-05,0.004124546,1.316044522,unchanged
CHST14,0.447115947,7.663246594,3.093457271,0.004761203,0.053300224,-2.408634312,unchanged
LONRF2,-0.446982485,4.1499087,-2.939011475,0.006916162,0.066841154,-2.755021781,unchanged
SESN1,0.446473198,7.084740197,2.544450304,0.017382841,0.109288563,-3.59848485,unchanged
SMCR7,0.446115134,5.784191437,2.925720255,0.007139841,0.067992665,-2.784442626,unchanged
ZC3H7B,-0.445862925,4.765041042,-3.154571065,0.004100419,0.049382147,-2.269404831,unchanged
MS4A6A,0.445805394,4.3595833,2.096121941,0.046183332,0.180399444,-4.466888766,unchanged
SEC31A,0.445421804,10.01454255,3.236037389,0.003355371,0.044388822,-2.082044969,unchanged
MTHFD1,-0.445126598,8.12434936,-3.472119112,0.001861945,0.030179255,-1.528861799,unchanged
EDARADD,-0.445051788,7.610385509,-2.758577539,0.01060719,0.083240808,-3.14872025,unchanged
TANC2,0.444984349,6.954235748,3.349779473,0.002529906,0.036543918,-1.817317925,unchanged
MEGF9,-0.444938777,5.825758021,-2.837054569,0.008817369,0.075840663,-2.97903179,unchanged
CMBL,0.444923307,4.247732109,3.001905223,0.005945187,0.061534358,-2.61494912,unchanged
EIF4EBP1,-0.44474532,10.09641262,-1.513747982,0.142426067,0.337421864,-5.409889553,unchanged
NT5C2,-0.444649501,6.903638969,-6.340555385,1.14E-06,0.000195971,5.569833029,unchanged
MKNK2,-0.444505624,8.130763805,-2.735384212,0.011198498,0.085459339,-3.198393297,unchanged
MXI1,0.444464846,6.962012512,1.817952169,0.080877138,0.244780777,-4.946449105,unchanged
ZDHHC11,-0.444127116,4.415165037,-1.682566524,0.104704954,0.281774741,-5.161034679,unchanged
PVRL1,-0.444056496,7.342193091,-1.932350388,0.064533511,0.215895789,-4.755293172,unchanged
MT1X,-0.443897311,9.02252336,-2.265068528,0.032276729,0.151056067,-4.152429555,unchanged
CACNA1C,0.442859966,5.336624872,2.313834989,0.029037879,0.142792923,-4.058663264,unchanged
PVR,-0.442826413,5.906248354,-3.785190208,0.000840317,0.018154051,-0.77594058,unchanged
HACL1,-0.442779593,6.381101198,-2.6820669,0.012677386,0.091785267,-3.311728015,unchanged
B3GNT5,-0.442416705,4.515575391,-3.565489762,0.00147091,0.025937506,-1.306369528,unchanged
FHL2,-0.44229571,9.039957917,-3.057659019,0.005194464,0.056398677,-2.489637394,unchanged
NRXN2,0.442169844,5.210395167,2.691983713,0.012389137,0.090720653,-3.290739716,unchanged
LRP1,0.441812872,8.053467802,2.288923707,0.030653442,0.146971419,-4.106723806,unchanged
HSD11B2,-0.441705928,6.001320466,-2.674911307,0.012889267,0.092638474,-3.32684605,unchanged
UHRF1BP1,-0.441439056,4.489781606,-4.063522739,0.000410093,0.01091882,-0.092799789,unchanged
C14orf79,-0.441343228,4.32652768,-2.381036338,0.025059547,0.131267252,-3.927361142,unchanged
NEK7,0.440840318,7.625374736,2.189617081,0.037937185,0.164157477,-4.294902233,unchanged
MAP7,-0.440545375,4.66307502,-1.52378071,0.139909627,0.333660004,-5.395703453,unchanged
PARD6B,-0.440356191,2.408523894,-4.307017584,0.000217831,0.007185029,0.512159606,unchanged
BID,-0.440275119,6.93557163,-2.683523931,0.012634644,0.091655443,-3.308646954,unchanged
KIAA0922,0.440176248,5.25078029,2.401107422,0.023972089,0.12825328,-3.887687053,unchanged
ZNF608,0.440033812,5.402411812,2.328819488,0.028103874,0.140310393,-4.029592993,unchanged
TWIST1,0.439993038,6.80673028,2.531627034,0.017895564,0.111063734,-3.624762887,unchanged
PCCA,-0.439622048,7.150141254,-3.77654989,0.000859129,0.018452534,-0.796964969,unchanged
LCE2C,-0.439560911,4.031940366,-0.634055056,0.531710073,0.717096954,-6.322072746,unchanged
LMNB1,-0.439550656,4.36800453,-1.535861274,0.136927778,0.330436941,-5.378518773,unchanged
